Date,Open
06/14/2021,14083.47
06/11/2021,14030.85
06/10/2021,13933.88
06/09/2021,13980.23
06/08/2021,13946.32
06/07/2021,13802.82
06/04/2021,13697.25
06/03/2021,13655.75
06/02/2021,13743.24
06/01/2021,13829.06
05/28/2021,13792.05
05/27/2021,13742.58
05/26/2021,13693.94
05/25/2021,13721.54
05/24/2021,13661.17
05/21/2021,13616.19
05/20/2021,13356.63
05/19/2021,13078.19
05/18/2021,13416.9
05/17/2021,13368.8
05/14/2021,13255.65
05/13/2021,13150.94
05/12/2021,13215.49
05/11/2021,13363.99
05/10/2021,13687.59
05/07/2021,13723.09
05/06/2021,13557.83
05/05/2021,13731.13
05/04/2021,13774.51
05/03/2021,14031.77
04/30/2021,13970.73
04/29/2021,14204.51
04/28/2021,14082.78
04/27/2021,14170.91
04/26/2021,14052.38
04/23/2021,13861.37
04/22/2021,13952.57
04/21/2021,13745.77
04/20/2021,13894.46
04/19/2021,13984.58
04/16/2021,14059.11
04/15/2021,13983.23
04/14/2021,14005.27
04/13/2021,13902.45
04/12/2021,13854.44
04/09/2021,13787.01
04/08/2021,13796.89
04/07/2021,13675.3
04/06/2021,13681.67
04/05/2021,13594.9
04/01/2021,13414.32
03/31/2021,13122.57
03/30/2021,13008.8
03/29/2021,13103.97
03/26/2021,12996.03
03/25/2021,12844.58
03/24/2021,13289.24
03/23/2021,13381.43
03/22/2021,13278.78
03/19/2021,13119.9
03/18/2021,13349.2
03/17/2021,13336.91
03/16/2021,13523.17
03/15/2021,13323.47
03/12/2021,13222.81
03/11/2021,13273.31
03/10/2021,13234.73
03/09/2021,12923.07
03/08/2021,12904.26
03/05/2021,12860.04
03/04/2021,12953.99
03/03/2021,13336.25
03/02/2021,13599.45
03/01/2021,13406.16
02/26/2021,13192.35
02/25/2021,13512.64
02/24/2021,13400.25
02/23/2021,13262.61
02/22/2021,13714.2
02/19/2021,13929.2
02/18/2021,13814.67
02/17/2021,13911.65
02/16/2021,14152.21
02/12/2021,13979.21
02/11/2021,14045.21
02/10/2021,14093.35
02/09/2021,13966.81
02/08/2021,13937.06
02/05/2021,13824.88
02/04/2021,13674.06
02/03/2021,13718.31
02/02/2021,13543.1
02/01/2021,13226.18
01/29/2021,13284.72
01/28/2021,13323.29
01/27/2021,13486.58
01/26/2021,13681.72
01/25/2021,13681.21
01/22/2021,13474.81
01/21/2021,13521.48
01/20/2021,13342.55
01/19/2021,13132.73
01/15/2021,13099.9
01/14/2021,13174.75
01/13/2021,13088.01
01/12/2021,13062.06
01/11/2021,13048.78
01/08/2021,13160.22
01/07/2021,12867.34
01/06/2021,12666.15
01/05/2021,12665.65
01/04/2021,12958.52
12/31/2020,12877.09
12/30/2020,12906.51
12/29/2020,12965.39
12/28/2020,12914.64
12/24/2020,12791.54
12/23/2020,12834.94
12/22/2020,12785.22
12/21/2020,12596.14
12/18/2020,12804.93
12/17/2020,12730.78
12/16/2020,12611.04
12/15/2020,12543.26
12/14/2020,12447.44
12/11/2020,12336.79
12/10/2020,12247.55
12/09/2020,12591.69
12/08/2020,12503.17
12/07/2020,12461
12/04/2020,12399.32
12/03/2020,12369.26
12/02/2020,12285.75
12/01/2020,12313.36
11/30/2020,12224.25
11/27/2020,12159.18
11/25/2020,12069.34
11/24/2020,11939.33
11/23/2020,11916.76
11/20/2020,11892.7
11/19/2020,11779.04
11/18/2020,11896.06
11/17/2020,11913.35
11/16/2020,11847.11
11/13/2020,11794.94
11/12/2020,11802.5
11/11/2020,11656.65
11/10/2020,11622.44
11/09/2020,12046.66
11/06/2020,11869.9
11/05/2020,11816.33
11/04/2020,11443.77
11/03/2020,11038.66
11/02/2020,11010.45
10/30/2020,11103.47
10/29/2020,11064.47
10/28/2020,11230.9
10/27/2020,11409.34
10/26/2020,11440.64
10/23/2020,11536
10/22/2020,11526.97
10/21/2020,11530.39
10/20/2020,11609.56
10/19/2020,11732.34
10/16/2020,11761.83
10/15/2020,11559.88
10/14/2020,11889.07
10/13/2020,11901.76
10/12/2020,11732.32
10/09/2020,11487.6
10/08/2020,11443.35
10/07/2020,11271.68
10/06/2020,11314.53
10/05/2020,11169.11
10/02/2020,11082.53
10/01/2020,11291.99
09/30/2020,11092.9
09/29/2020,11109
09/28/2020,11084.38
09/25/2020,10680.46
09/24/2020,10551.02
09/23/2020,10950.82
09/22/2020,10873.3
09/21/2020,10536.08
09/18/2020,10973.45
09/17/2020,10796.05
09/16/2020,11222.08
09/15/2020,11201.25
09/14/2020,11010.14
09/11/2020,11010.07
09/10/2020,11235.53
09/09/2020,11064.76
09/08/2020,10900.69
09/04/2020,11396.24
09/03/2020,11861.9
09/02/2020,12047.26
09/01/2020,11850.96
08/31/2020,11718.81
08/28/2020,11689.28
08/27/2020,11688.19
08/26/2020,11516.62
08/25/2020,11370.23
08/24/2020,11449.25
08/21/2020,11258.44
08/20/2020,11096.4
08/19/2020,11214.8
08/18/2020,11170.75
08/17/2020,11083.24
08/14/2020,11042.24
08/13/2020,11026.86
08/12/2020,10878.12
08/11/2020,10942.66
08/10/2020,11033.72
08/07/2020,11072.53
08/06/2020,10989.98
08/05/2020,10967.87
08/04/2020,10916.9
08/03/2020,10848.64
07/31/2020,10741.47
07/30/2020,10450.12
07/29/2020,10474.7
07/28/2020,10509.2
07/27/2020,10421.7
07/24/2020,10294.41
07/23/2020,10689.5
07/22/2020,10687.58
07/21/2020,10837.88
07/20/2020,10526.02
07/17/2020,10500.52
07/16/2020,10443.87
07/15/2020,10576.72
07/14/2020,10310.25
07/13/2020,10729.92
07/10/2020,10545.91
07/09/2020,10563.72
07/08/2020,10409.35
07/07/2020,10412.46
07/06/2020,10360.38
07/02/2020,10268.67
07/01/2020,10063.67
06/30/2020,9875.29
06/29/2020,9771.72
06/26/2020,9995.12
06/25/2020,9899.36
06/24/2020,10092.92
06/23/2020,10130.83
06/22/2020,9945.49
06/19/2020,10042.13
06/18/2020,9892.48
06/17/2020,9943.31
06/16/2020,9949.78
06/15/2020,9426.9
06/12/2020,9715.87
06/11/2020,9791.24
06/10/2020,10012.32
06/09/2020,9867.19
06/08/2020,9823.44
06/05/2020,9703.54
06/04/2020,9649.65
06/03/2020,9651.86
06/02/2020,9566.53
06/01/2020,9471.42
05/29/2020,9382.35
05/28/2020,9392.99
05/27/2020,9346.12
05/26/2020,9501.21
05/22/2020,9278.55
05/21/2020,9375.19
05/20/2020,9305.62
05/19/2020,9227.46
05/18/2020,9177.15
05/15/2020,8839.99
05/14/2020,8788.04
05/13/2020,9006.05
05/12/2020,9225.14
05/11/2020,9054.91
05/08/2020,9056.89
05/07/2020,8973.78
05/06/2020,8874.7
05/05/2020,8809.66
05/04/2020,8555.32
05/01/2020,8681.29
04/30/2020,8911.01
04/29/2020,8802.7
04/28/2020,8825.68
04/27/2020,8717.98
04/24/2020,8530.08
04/23/2020,8528.84
04/22/2020,8434.55
04/21/2020,8460.69
04/20/2020,8553.37
04/17/2020,8667.48
04/16/2020,8479.11
04/15/2020,8355.96
04/14/2020,8353.21
04/13/2020,8127.69
04/09/2020,8169.01
04/08/2020,7975.72
04/07/2020,8129.99
04/06/2020,7660.17
04/03/2020,7477.27
04/02/2020,7317.45
04/01/2020,7459.5
03/31/2020,7740.06
03/30/2020,7583.46
03/27/2020,7554.25
03/26/2020,7462.21
03/25/2020,7421.36
03/24/2020,7196.15
03/23/2020,6847.28
03/20/2020,7248.07
03/19/2020,6996.45
03/18/2020,6902.32
03/17/2020,7072
03/16/2020,7392.73
03/13/2020,7610.39
03/12/2020,7398.58
03/11/2020,8136.25
03/10/2020,8219.76
03/09/2020,7957.93
03/06/2020,8469.02
03/05/2020,8790.09
03/04/2020,8834.1
03/03/2020,8965.1
03/02/2020,8667.14
02/28/2020,8269.74
02/27/2020,8744.03
02/26/2020,9011.55
02/25/2020,9301.2
02/24/2020,9188.44
02/21/2020,9708.01
02/20/2020,9799.2
02/19/2020,9782.81
02/18/2020,9679.04
02/14/2020,9728.9
02/13/2020,9657.04
02/12/2020,9688.6
02/11/2020,9680.89
02/10/2020,9493.63
02/07/2020,9526.64
02/06/2020,9540.98
02/05/2020,9574.1
02/04/2020,9398.39
02/03/2020,9190.72
01/31/2020,9284.93
01/30/2020,9211.15
01/29/2020,9318.26
01/28/2020,9201.82
01/27/2020,9092.46
01/24/2020,9446.2
01/23/2020,9377.72
01/22/2020,9413.61
01/21/2020,9361.07
01/17/2020,9392.37
01/16/2020,9313.45
01/15/2020,9253.76
01/14/2020,9270.61
01/13/2020,9213.72
01/10/2020,9232.94
01/09/2020,9202.27
01/08/2020,9068.03
01/07/2020,9076.64
01/06/2020,8943.5
01/03/2020,8976.43
01/02/2020,9039.46
12/31/2019,8918.74
12/30/2019,9004.45
12/27/2019,9049.47
12/26/2019,8970.21
12/24/2019,8955.01
12/23/2019,8950.2
12/20/2019,8911.84
12/19/2019,8838.97
12/18/2019,8834.65
12/17/2019,8829.47
12/16/2019,8791.31
12/13/2019,8713.91
12/12/2019,8645.36
12/11/2019,8631.12
12/10/2019,8623.56
12/09/2019,8650.86
12/06/2019,8634.25
12/05/2019,8587.93
12/04/2019,8557.45
12/03/2019,8460.72
12/02/2019,8672.84
11/29/2019,8682.01
11/27/2019,8669.59
11/26/2019,8635.4
11/25/2019,8559.65
