Date,BTC,Open
2018-05-11,6696.47,11379.36
2018-05-12,6234.45,11561.64
2018-05-13,6289.14,11515.00
2018-05-14,6431.28,11726.09
2018-05-15,6420.23,11914.15
2018-05-16,6300.03,12025.37
2018-05-17,6179.44,11837.96
2018-05-18,5990.40,11701.53
2018-05-19,6126.70,11756.19
2018-05-20,6120.22,12036.48
2018-05-21,6324.08,12239.69
2018-05-22,6269.45,12317.96
2018-05-23,5979.97,12287.67
2018-05-24,5655.71,12433.87
2018-05-25,5673.52,12675.04
2018-05-26,5625.97,12538.80
2018-05-27,5532.49,12703.72
2018-05-28,5539.42,12557.49
2018-05-29,5356.07,12793.44
2018-05-30,5636.68,12944.82
2018-05-31,5576.08,12866.31
2018-06-01,5645.14,12996.63
2018-06-02,5643.79,13082.64
2018-06-03,5715.21,12968.63
2018-06-04,5783.80,12937.79
2018-06-05,5633.84,12832.27
2018-06-06,5689.32,12523.16
2018-06-07,5701.48,12380.37
2018-06-08,5728.77,12375.15
2018-06-09,5690.39,12506.37
2018-06-10,5591.25,12630.58
2018-06-11,5069.56,12021.05
2018-06-12,5165.16,12093.06
2018-06-13,4932.98,11972.56
2018-06-14,4740.83,11707.44
2018-06-15,5035.52,11899.14
2018-06-16,4859.93,11643.03
2018-06-17,4927.75,11559.38
2018-06-18,4904.01,11679.86
2018-06-19,5085.53,11958.61
2018-06-20,5140.27,12174.94
2018-06-21,5147.74,11908.81
2018-06-22,5087.88,11680.41
2018-06-23,4588.68,11633.24
2018-06-24,4644.57,11401.21
2018-06-25,4654.58,11338.57
2018-06-26,4711.13,11440.14
2018-06-27,4602.77,11466.21
2018-06-28,4690.27,11167.38
2018-06-29,4511.69,10952.69
2018-06-30,4704.54,10833.38
2018-07-01,4854.02,10955.29
2018-07-02,4830.69,10817.52
2018-07-03,5019.91,10894.44
2018-07-04,4965.79,10697.71
2018-07-05,4989.95,10659.01
2018-07-06,5021.70,11054.72
2018-07-07,5017.84,11022.67
2018-07-08,5160.12,11129.04
2018-07-09,5096.73,10877.28
2018-07-10,5085.04,10659.95
2018-07-11,4775.78,10484.37
2018-07-12,4843.84,10437.00
2018-07-13,4731.75,10131.82
2018-07-14,4721.51,10742.81
2018-07-15,4740.55,10575.65
2018-07-16,4806.45,10963.99
2018-07-17,5092.29,10689.31
2018-07-18,5583.36,10657.41
2018-07-19,5642.12,10576.04
2018-07-20,5734.89,10867.07
2018-07-21,5596.53,10996.97
2018-07-22,5646.06,10969.02
2018-07-23,5641.14,10971.95
2018-07-24,5889.12,10766.20
2018-07-25,6373.33,11028.43
2018-07-26,6195.99,11154.74
2018-07-27,6065.77,10885.01
2018-07-28,6231.64,10399.45
2018-07-29,6259.68,10548.14
2018-07-30,6271.23,10516.94
2018-07-31,6229.02,10611.53
2018-08-01,5922.43,10528.45
2018-08-02,5816.97,10869.17
2018-08-03,5810.77,11124.75
2018-08-04,5719.85,11233.90
2018-08-05,5406.44,11474.82
2018-08-06,5433.03,11260.10
2018-08-07,5376.96,11008.67
2018-08-08,5212.34,11257.01
2018-08-09,4897.14,11091.01
2018-08-10,5123.51,11058.56
2018-08-11,4845.14,11174.61
2018-08-12,4921.79,11231.00
2018-08-13,4970.50,11147.57
2018-08-14,4928.79,11060.02
2018-08-15,4892.98,10995.20
2018-08-16,4958.82,11475.17
2018-08-17,4988.91,11308.38
2018-08-18,5162.26,11380.99
2018-08-19,5036.13,11228.42
2018-08-20,5100.44,10963.95
2018-08-21,4921.17,11011.33
2018-08-22,5026.15,11038.17
2018-08-23,4937.88,11015.48
2018-08-24,5115.18,11542.84
2018-08-25,5232.79,11248.09
2018-08-26,5259.80,11012.62
2018-08-27,5219.98,10767.63
2018-08-28,5343.58,10707.44
2018-08-29,5511.12,10490.89
2018-08-30,5403.73,10592.00
2018-08-31,5360.06,10586.46
2018-09-01,5435.39,10437.75
2018-09-02,5547.09,Open
2018-09-03,5634.36,15696.83
2018-09-04,5645.11,15895.20
2018-09-05,5725.64,15794.92
2018-09-06,5230.87,15758.98
2018-09-07,5051.78,15722.91
2018-09-08,4998.58,15732.50
2018-09-09,4815.37,15852.14
2018-09-10,4874.73,15547.16
2018-09-11,4860.96,15024.15
2018-09-12,4854.01,15095.72
2018-09-13,4871.39,14751.78
2018-09-14,4970.18,14919.26
2018-09-15,4981.56,15263.10
2018-09-16,5002.43,15245.04
2018-09-17,4983.60,14708.02
2018-09-18,4778.90,14681.83
2018-09-19,4839.99,14582.22
2018-09-20,4870.12,14462.85
2018-09-21,4908.11,14046.22
2018-09-22,5152.28,13481.50
2018-09-23,5136.78,13610.87
2018-09-24,5126.87,13871.77
2018-09-25,5035.31,13710.99
2018-09-26,4896.10,13436.71
2018-09-27,4930.43,13812.19
2018-09-28,5108.07,14277.43
2018-09-29,5097.91,14494.47
2018-09-30,5068.45,14045.83
2018-10-01,5078.09,13958.48
2018-10-02,5055.04,14118.79
2018-10-03,5048.69,13984.43
2018-10-04,5020.80,14368.16
2018-10-05,5048.22,14228.68
2018-10-06,5048.76,14213.62
2018-10-07,5024.54,13768.97
2018-10-08,5027.95,13997.18
2018-10-09,5081.02,14038.92
2018-10-10,5046.95,14004.19
2018-10-11,4988.14,13735.40
2018-10-12,4715.32,13424.36
2018-10-13,4772.03,13511.75
2018-10-14,4779.94,12587.88
2018-10-15,4802.01,13485.26
2018-10-16,5017.96,13570.83
2018-10-17,4998.35,13716.70
2018-10-18,4993.24,13597.53
2018-10-19,4974.48,13837.59
2018-10-20,4942.57,13455.23
2018-10-21,4964.89,13328.36
2018-10-22,4964.45,12800.04
2018-10-23,4984.72,13113.70
2018-10-24,4990.04,13098.35
